table_schema,table_name,ordinal_position,column_name,data_type,base_type_name,type_category,is_nullable,column_default,is_enum,is_array
public,asset_types,9,replacement_cost_estimate,"numeric(10,2)",numeric,N,true,null,false,false
public,asset_types,10,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,assets,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,assets,2,organization_id,uuid,uuid,U,false,null,false,false
public,assets,3,asset_type_id,uuid,uuid,U,false,null,false,false
public,assets,4,asset_code,text,text,S,false,null,false,false
public,assets,5,qr_code,text,text,S,true,null,false,false
public,assets,6,serial_number,text,text,S,true,null,false,false
public,assets,7,brand,text,text,S,true,null,false,false
public,assets,8,model,text,text,S,true,null,false,false
public,assets,9,purchase_date,date,date,D,true,null,false,false
public,assets,10,purchase_price,"numeric(10,2)",numeric,N,true,null,false,false
public,assets,11,supplier_id,uuid,uuid,U,true,null,false,false
public,assets,12,warranty_months,integer,int4,N,true,null,false,false
public,assets,13,warranty_expiry,date,date,D,true,null,false,false
public,assets,14,condition,text,text,S,true,'good'::text,false,false
public,assets,15,status,text,text,S,true,'inventory'::text,false,false
public,assets,16,notes,text,text,S,true,null,false,false
public,assets,17,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,assets,18,invoice_number,text,text,S,true,null,false,false
public,assets,19,invoice_date,date,date,D,true,null,false,false
public,assets,20,invoice_url,text,text,S,true,null,false,false
public,assets,21,vendor_name_manual,text,text,S,true,null,false,false
public,assets,22,capacity_value,text,text,S,true,null,false,false
public,assets,23,capacity_unit,text,text,S,true,null,false,false
public,assets,24,product_photo_url,text,text,S,true,null,false,false
public,assets,27,apartment_id,uuid,uuid,U,true,null,false,false
public,assets,28,bed_id,uuid[],_uuid,A,true,null,false,true
public,assets,29,is_bill_missing,boolean,bool,B,true,false,false,false
public,assets,30,data_source,text,text,S,true,'migration_2026'::text,false,false
public,assets,31,migration_notes,text,text,S,true,null,false,false
public,attendance_logs,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,attendance_logs,2,employee_id,uuid,uuid,U,false,null,false,false
public,attendance_logs,3,company_id,uuid,uuid,U,true,null,false,false
public,attendance_logs,4,date,date,date,D,false,null,false,false
public,attendance_logs,5,check_in_time,text,text,S,true,null,false,false
public,attendance_logs,6,check_out_time,text,text,S,true,null,false,false
public,attendance_logs,7,status,text,text,S,false,null,false,false
public,attendance_logs,8,hours_worked,"numeric(5,2)",numeric,N,true,null,false,false
public,attendance_logs,9,overtime_hours,"numeric(5,2)",numeric,N,true,null,false,false
public,attendance_logs,10,late_minutes,integer,int4,N,true,0,false,false
public,attendance_logs,11,bonus,"numeric(12,2)",numeric,N,true,null,false,false
public,attendance_logs,12,total_deduction_percent,"numeric(5,2)",numeric,N,true,null,false,false
public,attendance_logs,13,notes,text,text,S,true,null,false,false
public,attendance_logs,14,edit_reason,text,text,S,true,null,false,false
public,attendance_logs,15,edited_by,uuid,uuid,U,true,null,false,false
public,attendance_logs,16,source,text,text,S,true,null,false,false
public,attendance_logs,17,marked_by,text,text,S,true,null,false,false
public,attendance_logs,18,check_in_image_account,text,text,S,true,null,false,false
public,attendance_logs,19,check_out_image_account,text,text,S,true,null,false,false
public,attendance_logs,20,check_in_device_id,text,text,S,true,null,false,false
public,attendance_logs,21,check_out_device_id,text,text,S,true,null,false,false
public,attendance_logs,22,extended_checkout_time,text,text,S,true,null,false,false
public,attendance_logs,23,shift_id,uuid,uuid,U,true,null,false,false
public,attendance_logs,24,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,attendance_sync,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,attendance_sync,2,record_id,text,text,S,false,null,false,false
public,attendance_sync,3,employee_name,text,text,S,true,null,false,false
public,attendance_sync,4,employee_email,text,text,S,true,null,false,false
public,attendance_sync,5,department,text,text,S,true,null,false,false
public,attendance_sync,6,date,date,date,D,true,null,false,false
public,attendance_sync,7,check_in_time,time without time zone,time,D,true,null,false,false
public,attendance_sync,8,check_out_time,time without time zone,time,D,true,null,false,false
public,attendance_sync,9,status,text,text,S,true,null,false,false
public,attendance_sync,10,hours_worked,numeric,numeric,N,true,null,false,false
public,attendance_sync,11,notes,text,text,S,true,null,false,false
public,attendance_sync,12,synced_at,timestamp with time zone,timestamptz,D,true,null,false,false
public,attendance_sync,13,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,audit_logs,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,audit_logs,2,organization_id,uuid,uuid,U,false,null,false,false
public,audit_logs,3,table_name,text,text,S,false,null,false,false
public,audit_logs,4,record_id,uuid,uuid,U,false,null,false,false
public,audit_logs,5,action,text,text,S,false,null,false,false
public,audit_logs,6,changes,jsonb,jsonb,U,true,'{}'::jsonb,false,false
public,audit_logs,7,performed_by,uuid,uuid,U,true,null,false,false
public,audit_logs,8,performed_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,audit_logs,9,old_value,jsonb,jsonb,U,true,'{}'::jsonb,false,false
public,audit_logs,10,new_value,jsonb,jsonb,U,true,'{}'::jsonb,false,false
public,bed_rates,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,bed_rates,2,organization_id,uuid,uuid,U,false,null,false,false
public,bed_rates,3,property_id,uuid,uuid,U,true,null,false,false
public,bed_rates,4,bed_type,bed_type,bed_type,E,false,null,true,false
public,bed_rates,5,toilet_type,toilet_type,toilet_type,E,false,null,true,false
public,bed_rates,6,monthly_rate,"numeric(10,2)",numeric,N,false,null,false,false
public,bed_rates,7,from_date,date,date,D,false,null,false,false
public,bed_rates,8,to_date,date,date,D,true,null,false,false
public,bed_rates,9,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,bed_status_history,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,bed_status_history,2,bed_id,uuid,uuid,U,false,null,false,false
public,bed_status_history,3,status,text,text,S,false,null,false,false
public,bed_status_history,4,from_date,date,date,D,false,null,false,false
public,bed_status_history,5,to_date,date,date,D,true,null,false,false
public,bed_status_history,6,notes,text,text,S,true,null,false,false
public,bed_status_history,7,organization_id,uuid,uuid,U,false,null,false,false
public,bed_status_history,8,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,bed_type_config,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,bed_type_config,2,name,text,text,S,false,null,false,false
public,bed_type_config,3,organization_id,uuid,uuid,U,false,null,false,false
public,bed_type_config,4,sort_order,integer,int4,N,false,0,false,false
public,bed_type_config,5,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
